season,week,season_type,game_date,home_team,away_team,home_score,away_score,home_win,elo_diff,pythagorean_diff,win_pct_diff,ppg_diff,papg_diff,net_ppg_diff,yds_per_play_diff,def_yds_per_play_diff,turnover_diff_diff,passer_rating_diff,third_down_diff,red_zone_diff,injury_impact_diff,qb_out_home,qb_out_away,rest_days_diff,short_week_home,short_week_away,wind_adj,precip_adj,temp_adj,altitude_adj,divisional_game,is_neutral,vegas_home_prob,mc_win_pct
2021,15,2,2021-12-17,LAC,KC,28,34,0,-19.12,-0.1288,-0.0769,0.0,5.23,-5.23,0.0,0.209,-5.0,-0.742,-6.946,1.04,0.0,0,0,0,1,1,0.0,0.0,0.0,0.0,1,0,0.5,0.4656
2021,15,2,2021-12-19,IND,NE,27,17,1,-26.2,-0.1351,-0.1538,1.62,6.38,-4.77,0.065,0.255,7.0,-2.05,-2.589,-5.65,0.0,0,0,2,0,0,0.0,0.0,0.0,0.0,0,0,0.5,0.4625
2021,15,2,2021-12-19,BUF,CAR,31,14,1,46.63,0.3035,0.1538,8.15,-4.08,12.23,0.326,-0.163,21.0,22.799,10.651,7.85,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.5,0.6818
2021,15,2,2021-12-19,DET,ARI,30,12,1,-118.27,-0.4731,-0.6923,-11.77,7.69,-19.46,-0.471,0.308,-16.0,-12.526,-10.507,-11.79,0.0,0,0,2,0,1,0.0,0.0,0.0,0.0,0,0,0.5,0.2935
2021,15,2,2021-12-19,MIA,NYJ,31,24,1,58.0,0.2178,0.2308,2.15,-8.38,10.54,0.086,-0.335,13.0,9.379,4.452,6.32,0.0,0,0,7,0,0,0.0,0.0,0.0,0.0,1,0,0.5,0.6389
2021,15,2,2021-12-19,NYG,DAL,6,21,0,-66.84,-0.3257,-0.3846,-11.38,1.77,-13.15,-0.455,0.071,-22.0,-34.634,-6.899,-18.34,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,0.5,0.3671
2021,15,2,2021-12-19,PIT,TEN,19,13,1,-36.49,-0.164,-0.2308,-4.0,2.46,-6.46,-0.16,0.098,5.0,-4.699,-4.732,-8.3,0.0,0,0,2,0,0,0.0,0.0,0.0,0.0,0,0,0.5,0.448
2021,15,2,2021-12-19,JAX,HOU,16,30,0,-3.55,0.0211,0.0,0.23,-1.23,1.46,0.009,-0.049,-23.0,-13.057,-3.9,0.07,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,0.5,0.5405
2021,15,2,2021-12-19,DEN,CIN,10,15,0,-7.1,-0.001,0.0,-6.08,-5.0,-1.08,-0.243,-0.2,1.0,-15.226,-1.116,-4.9,0.0,0,0,0,0,0,0.0,0.0,0.0,0.3,0,0,0.5,0.5295
2021,15,2,2021-12-19,SF,ATL,31,13,1,37.41,0.2563,0.0769,6.46,-4.0,10.46,0.258,-0.16,2.0,12.542,1.338,14.82,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.5,0.6582
